Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,10-09-2019,182.2717701,181.4413664,185.4540334,176.2742855
ETH,11-09-2019,179.4033829,182.2687224,184.5444279,176.9743
ETH,12-09-2019,178.3436659,179.9270524,182.512877,174.4060047
ETH,13-09-2019,181.2873036,178.3473136,182.5456221,176.8659888
ETH,14-09-2019,180.7958504,181.2892051,181.4556501,177.8017549
ETH,15-09-2019,187.4962298,180.7985023,188.6503457,179.9538264
ETH,16-09-2019,188.7210222,188.6049837,190.6841347,186.1629628
ETH,17-09-2019,197.7618966,189.45948,199.7446388,188.5793541
ETH,18-09-2019,211.8446526,197.7609893,215.1567035,196.4356548
ETH,19-09-2019,211.7686705,211.82585,217.7314461,207.223138
ETH,20-09-2019,220.4508762,210.2545682,224.0578836,202.4375992
ETH,21-09-2019,214.5472068,220.4685405,222.9280727,212.2803286
ETH,22-09-2019,215.6904162,214.5594236,221.3215019,213.6352797
ETH,23-09-2019,210.6311029,215.6898086,216.427473,206.2164186
ETH,24-09-2019,201.7345164,210.6311884,211.9376629,198.7209499
ETH,25-09-2019,168.9992628,201.7106798,202.79481,153.5773183
ETH,26-09-2019,169.9438202,166.4584065,175.2361698,162.3989671
ETH,27-09-2019,166.6986944,169.9462635,170.9986839,152.792275
ETH,28-09-2019,172.7389316,166.70021,177.1355995,161.3662557
ETH,29-09-2019,172.997552,174.0520062,175.5296415,168.5297637
ETH,30-09-2019,171.0073197,172.9944184,174.62996,164.652282
ETH,01-10-2019,177.9168792,169.4650463,180.7383957,165.5019504
ETH,02-10-2019,176.9313026,181.1987394,185.5531425,173.9327109
ETH,03-10-2019,178.6122629,176.9355936,179.2120178,174.3922359
ETH,04-10-2019,175.1317829,178.6144732,181.4239301,169.9848044
ETH,05-10-2019,176.8658985,175.0228574,179.0944323,171.2040497
ETH,06-10-2019,176.060443,176.8619875,176.9344928,172.3521434
ETH,07-10-2019,169.4697137,176.5445171,177.0911151,168.1019019
ETH,08-10-2019,181.4028513,169.4751614,182.5301278,168.6814467
ETH,09-10-2019,180.7891908,181.4028352,184.9466911,177.5541288
ETH,10-10-2019,193.1512327,180.7336277,194.6156621,179.1623635
ETH,11-10-2019,192.1981992,193.1521878,195.708969,187.0135686
ETH,12-10-2019,181.0085295,192.1985798,196.9808386,179.6352639
ETH,13-10-2019,180.79133,181.0120342,184.5822471,177.8028309
ETH,14-10-2019,181.5366658,179.8019772,184.5515804,178.7876886
ETH,15-10-2019,186.1238271,181.5367927,187.5599757,180.4860191
ETH,17-10-2019,174.7540832,180.503123,181.2679391,171.8682058
ETH,18-10-2019,176.3901046,174.7541946,178.9594705,172.7968865
ETH,19-10-2019,173.7500889,176.3914358,177.2022735,168.7672567
ETH,20-10-2019,171.1585128,172.8195486,174.946621,169.9091738
ETH,21-10-2019,174.6693847,171.1615027,176.5968296,169.463679
ETH,22-10-2019,173.7658274,175.1423786,177.6712917,171.8260006
ETH,23-10-2019,171.3018586,173.7639581,175.2730854,170.9862148
ETH,24-10-2019,159.5431046,171.2342547,171.5360965,153.3632515
ETH,25-10-2019,161.0687513,159.5283559,163.7493604,158.9530046
ETH,26-10-2019,179.9804506,160.4766971,187.5246292,160.4378279
ETH,27-10-2019,177.4139323,179.9785938,197.8758978,174.0566951
ETH,28-10-2019,184.9332869,179.9901603,188.998946,176.7905096
ETH,29-10-2019,183.9328016,184.9408818,189.8001355,180.7852769
ETH,30-10-2019,192.3885044,181.9923264,192.8824666,181.5986433
ETH,31-10-2019,183.3652158,192.3960443,192.5929549,180.1672521
ETH,01-11-2019,181.5668036,183.3729921,185.2490926,177.950236
ETH,02-11-2019,182.8739795,181.5678529,184.6004073,177.6418123
ETH,03-11-2019,182.853304,183.0484887,185.5946073,181.853086
ETH,04-11-2019,182.2438145,182.8529697,184.823773,179.1527611
ETH,05-11-2019,185.3686817,182.2454399,188.4429224,180.4331644
ETH,06-11-2019,188.8571937,185.9744358,192.2945772,182.6067913
ETH,07-11-2019,191.0586073,188.854812,194.5981295,187.9802997
ETH,08-11-2019,187.0749396,191.0565462,192.1825384,184.5991353
ETH,09-11-2019,184.4694667,186.5114334,188.0422282,180.9812153
ETH,10-11-2019,185.1915992,184.4704385,185.6216232,182.4951389
ETH,11-11-2019,189.7227333,185.1912963,191.3733014,183.2634618
ETH,12-11-2019,185.359517,189.7216905,190.0451627,184.6442022
ETH,13-11-2019,186.3251476,185.3596158,187.105962,182.1945968
ETH,14-11-2019,187.251114,186.3258676,189.296612,185.1390974
ETH,15-11-2019,184.8074617,187.8049832,188.3566913,182.8920147
ETH,16-11-2019,180.724972,184.8075113,186.2298715,176.9691396
ETH,17-11-2019,182.1067434,180.724823,183.2523008,179.1478944
ETH,18-11-2019,184.192142,182.1067435,186.156566,180.0385564
ETH,19-11-2019,178.4221817,183.7882612,183.8701601,174.6960152
ETH,20-11-2019,175.5936935,178.4223412,178.4223412,172.4956582
ETH,21-11-2019,174.7796504,175.6027918,177.2658184,173.3506038
ETH,22-11-2019,160.5179612,174.7790949,175.539895,156.4895342
ETH,23-11-2019,149.5245322,160.8533429,162.5769374,138.0537492
ETH,24-11-2019,152.136245,149.5208628,154.3257126,146.3886015
ETH,25-11-2019,144.315288,152.1385143,152.9254108,141.5578156
ETH,26-11-2019,146.9818122,140.200101,151.5314412,131.792109
ETH,27-11-2019,148.0068818,146.9829431,149.8963394,143.6151984
ETH,28-11-2019,152.957277,148.0063944,155.8367428,140.9610082
ETH,29-11-2019,150.4119794,152.9551449,154.6622731,149.7748854
ETH,30-11-2019,153.6738095,150.4199245,157.5477218,149.3600871
ETH,01-12-2019,151.655424,154.6333548,155.3667353,149.9045477
ETH,02-12-2019,151.5529038,151.656154,152.3992989,145.9724105
ETH,03-12-2019,149.4546547,151.5531083,152.1395962,146.6868256
ETH,04-12-2019,147.8113219,149.0437653,150.0229823,145.8376387
ETH,05-12-2019,145.6033386,147.8090196,152.1782861,143.3107348
ETH,06-12-2019,147.8270036,145.6036024,148.8058075,143.9984884
ETH,07-12-2019,148.6504041,148.0544193,149.519834,145.7474845
ETH,08-12-2019,147.8712516,148.6506468,149.5848528,147.1227833
ETH,09-12-2019,151.4106799,147.8742815,151.845365,146.4545058
ETH,10-12-2019,147.1595339,151.4106263,151.5515995,146.6904023
ETH,11-12-2019,145.797319,147.1614171,148.1517289,143.8551976
ETH,12-12-2019,143.0108044,145.8002271,146.3075411,142.0593823
ETH,13-12-2019,144.5101037,143.2522267,145.8505417,139.2794165
ETH,14-12-2019,144.4855855,144.6912933,145.1629101,142.7873857
ETH,15-12-2019,142.0555393,144.4855283,145.0437269,141.1641794
ETH,16-12-2019,142.6819305,142.0554434,143.9031342,139.8372896
ETH,17-12-2019,132.3435787,142.6814884,142.6818732,129.255671
ETH,18-12-2019,120.8798162,132.3441022,132.7613215,120.4019446
ETH,19-12-2019,133.8778331,120.8795882,134.2879357,116.2571391
ETH,20-12-2019,127.2736814,132.9349405,133.9879328,125.7528612
ETH,21-12-2019,127.3752755,127.2735675,128.5234325,125.8308868
ETH,22-12-2019,129.8708364,127.6401609,130.2112714,126.6059017
ETH,23-12-2019,128.9106173,129.8707266,131.4355915,126.588108
ETH,24-12-2019,125.0138244,128.9104738,131.6841222,123.9703665
ETH,25-12-2019,128.0056504,125.0129591,128.3185995,124.0074716
ETH,26-12-2019,125.3335416,128.0088701,128.1732248,123.2950005
ETH,27-12-2019,125.2582993,125.3333204,132.067008,123.3816559
ETH,28-12-2019,126.1492139,125.2563448,126.6638832,122.1867208
ETH,29-12-2019,128.0111453,126.1493765,129.3741249,125.7484878
ETH,30-12-2019,134.768035,128.0113804,137.8062787,127.2727017
ETH,31-12-2019,132.0730737,134.279097,136.0115699,130.0177846
ETH,01-01-2020,128.7226035,132.1265273,133.4051841,127.8465766
ETH,02-01-2020,129.8873633,128.7216212,132.6791743,128.2703839
ETH,03-01-2020,127.0556009,129.8863431,130.6324407,126.1302469
ETH,04-01-2020,132.9708332,127.0556009,134.6841516,125.4814194
ETH,05-01-2020,133.8206207,132.9703017,135.5848146,132.3263511
ETH,06-01-2020,134.8342522,133.8167911,138.195358,133.543008
ETH,07-01-2020,143.1316009,135.2739362,143.531238,134.7410752
ETH,08-01-2020,142.133414,143.1324736,145.3194577,138.9961843
ETH,09-01-2020,140.3393937,142.1874732,147.8878586,137.0702812
ETH,10-01-2020,137.494999,140.510254,141.3850517,135.4280274
ETH,11-01-2020,142.8347834,137.49557,145.1033113,135.274729
ETH,12-01-2020,143.0715916,144.8464765,147.8492529,142.0189514
ETH,13-01-2020,145.2809937,143.0715231,145.7229897,141.7851073
ETH,14-01-2020,143.936917,145.3010869,146.9424926,142.1317502
ETH,15-01-2020,163.8546315,143.5929432,170.7564252,143.5882636
ETH,16-01-2020,166.5383399,163.8406104,171.6563009,158.8671805
ETH,17-01-2020,163.9372081,166.3027404,167.2172214,158.1935887
ETH,18-01-2020,171.5889768,163.937012,174.0779173,161.99306
ETH,19-01-2020,176.700434,171.5958832,179.1611163,164.985758
ETH,20-01-2020,166.0633101,176.657885,177.8974234,161.6662374
ETH,21-01-2020,167.5725368,166.0631809,169.2062999,161.0670262
ETH,22-01-2020,169.0544916,167.373634,169.9529092,164.1286409
ETH,23-01-2020,167.1518345,169.0544205,171.1612132,165.6820816
ETH,24-01-2020,162.6714167,167.1518146,167.8245546,158.8187964
ETH,25-01-2020,162.8065224,162.3679149,164.2163654,155.2544171
ETH,26-01-2020,160.9178681,162.8065025,163.7269775,157.3198028
ETH,27-01-2020,166.7218659,160.9179032,167.5504987,159.1773129
ETH,28-01-2020,169.8001126,166.7228033,171.7815363,164.9161589
ETH,29-01-2020,173.5481484,169.801455,174.2348638,169.501864
ETH,30-01-2020,175.4603221,173.5175971,178.2467887,173.0267159
ETH,31-01-2020,186.2620414,173.5603847,186.3123396,170.5479945
ETH,01-02-2020,181.7284342,186.3285604,186.6111016,175.0291985
ETH,02-02-2020,182.7739889,181.7283382,184.0332785,179.0145943
ETH,03-02-2020,189.3125531,183.4823208,193.2911004,178.9859952
ETH,04-02-2020,189.2575929,189.3134157,195.08972,186.5603487
ETH,05-02-2020,188.6750822,189.6130188,191.340966,184.3270488
ETH,06-02-2020,204.5305348,188.6684409,207.4707776,187.6323374
ETH,07-02-2020,211.2924866,203.5375203,216.1313985,201.0790494
ETH,08-02-2020,221.8331394,211.2919393,224.4646953,210.8638617
ETH,09-02-2020,224.0294272,221.8323626,227.6191842,213.2555276
ETH,10-02-2020,228.044309,223.3181345,230.8103672,223.1313498
ETH,11-02-2020,223.3196378,228.0450894,229.5480393,216.4743145
ETH,12-02-2020,237.8783455,222.9542937,239.6841923,218.1670884
ETH,13-02-2020,268.3962677,237.8861993,275.4723672,236.4062899
ETH,14-02-2020,266.2518149,268.3807601,277.9827305,255.7409068
ETH,15-02-2020,284.0004909,268.5806049,285.4471774,260.3258231
ETH,16-02-2020,267.3531863,283.9993078,289.0017948,261.3504166
ETH,17-02-2020,255.3551842,267.3499374,273.9227614,234.4556604
ETH,18-02-2020,261.1372307,259.3453376,263.2025109,242.5995295
ETH,19-02-2020,281.3812072,261.1376118,286.3718583,259.532188
ETH,20-02-2020,265.1448245,281.4042932,286.7519742,251.6772125
ETH,21-02-2020,259.7141345,258.8474449,264.2184464,246.1780145
ETH,22-02-2020,263.949385,259.7110004,268.6092346,254.0968942
ETH,23-02-2020,262.5732338,265.6881601,267.2730735,256.736652
ETH,24-02-2020,272.8428067,262.5691731,275.3366176,261.2756993
ETH,25-02-2020,263.8974852,272.8473478,277.708362,257.0230483
ETH,26-02-2020,251.9396762,263.8960707,267.006149,244.3759791
ETH,27-02-2020,225.6910701,251.9397915,251.9807182,215.5426206
ETH,28-02-2020,228.5854083,223.8823233,238.428281,210.1001735
ETH,29-02-2020,229.7854128,227.62721,234.7948751,214.4878151
ETH,01-03-2020,223.499288,229.7860462,233.2691992,221.4456151
ETH,02-03-2020,218.777736,223.4992679,227.776085,212.1268018
ETH,03-03-2020,230.812952,218.7768834,234.1852626,215.8928095
ETH,04-03-2020,224.6566351,232.0343099,232.6650573,219.9493612
ETH,05-03-2020,223.5277347,224.6562559,229.047914,220.4809358
ETH,06-03-2020,229.4143467,223.5285236,234.2592546,223.5260538
ETH,07-03-2020,240.4900817,228.936579,241.8133381,227.9712266
ETH,08-03-2020,240.5548524,240.5176726,252.5990377,236.6120714
ETH,09-03-2020,204.4108196,240.574393,240.6522949,203.5604328
ETH,10-03-2020,198.9773509,204.409597,209.7067018,189.822892
ETH,11-03-2020,203.1258772,203.1224284,206.417134,195.9137127
ETH,12-03-2020,194.427784,203.1277748,203.1525263,181.7249688
ETH,13-03-2020,127.2928962,194.4190714,195.634896,125.398911
ETH,14-03-2020,134.8210288,127.2961436,142.7696371,89.12203565
ETH,15-03-2020,124.9746147,134.8209002,138.6602973,123.520234
ETH,16-03-2020,123.7851093,124.9783659,140.1188475,120.3637021
ETH,17-03-2020,107.8983448,123.7056714,125.3449192,101.1181962
ETH,18-03-2020,118.3424036,107.9063585,120.9954965,107.5406348
ETH,19-03-2020,116.6065978,118.3389189,119.0685754,110.7148692
ETH,20-03-2020,140.8145457,116.5963987,143.5123452,115.9858314
ETH,21-03-2020,131.753158,140.8218465,153.1439814,116.6076331
ETH,22-03-2020,133.0816861,131.7649583,137.8092859,126.0691948
ETH,23-03-2020,123.2739472,133.0569759,137.6053555,122.3096235
ETH,24-03-2020,133.5701414,122.4791515,137.8896112,119.7426464
ETH,25-03-2020,140.1136999,133.5755786,144.3268148,133.0782176
